,hhidpn,ragender
1175,15758010,1.male
1176,15776010,1.male
1177,15776020,2.female
1178,15779010,1.male
1179,15779040,2.female
1180,15781010,2.female
1181,15784010,2.female
1182,15784020,1.male
1183,15793010,2.female
1184,15793011,1.male
1185,15793020,1.male
1186,15801010,1.male
1187,15801040,2.female
1188,15833010,1.male
1189,15833020,2.female
1190,15834010,1.male
1191,15834011,2.female
1192,15836010,1.male
1193,15836020,2.female
1194,15840020,2.female
1195,15840030,1.male
1196,15883010,1.male
1197,15883011,2.female
1198,15883020,2.female
1199,15889010,1.male
1200,15889020,2.female
1201,15893010,1.male
1202,15893020,2.female
1203,15897020,2.female
1204,15897030,1.male
1205,15911010,2.female
1206,15911020,1.male
1207,15911021,2.female
1208,15911022,2.female
1209,15919010,1.male
1210,15932010,1.male
1211,15932020,2.female
1212,15935010,2.female
1213,15935011,1.male
1214,15957010,2.female
1215,15960010,1.male
1216,15964010,1.male
1217,15972010,2.female
1218,15973010,1.male
1219,15973020,2.female
1220,15977010,1.male
1221,15977020,2.female
1222,15981010,2.female
1223,15981040,1.male
1224,15982010,1.male
1225,15982020,2.female
1226,15983010,1.male
1227,15983020,2.female
1228,15986010,1.male
1229,15986040,2.female
1230,15987010,1.male
1231,15987020,2.female
1232,15991010,1.male
1233,15991040,2.female
1234,15992020,1.male
1235,15992030,2.female
1236,15995010,1.male
1237,15995020,2.female
1238,16013010,2.female
1239,16015010,1.male
1240,16022010,1.male
1241,16022040,2.female
1242,16024010,1.male
1243,16024020,2.female
1244,16035010,2.female
1245,16035040,1.male
1246,16036010,2.female
1247,16036040,1.male
1248,16042010,2.female
1249,16042011,1.male
1250,16042020,1.male
1251,16043020,1.male
1252,16043030,2.female
1253,16048010,2.female
1254,16048020,1.male
1255,16054020,2.female
1256,16054030,1.male
1257,16062010,1.male
1258,16062040,2.female
1259,16064010,1.male
1260,16064040,2.female
1261,16081010,1.male
1262,16081040,2.female
1263,16086010,1.male
1264,16086020,2.female
1265,16099010,2.female
1266,16107010,1.male
1267,16116010,1.male
1268,16116020,2.female
1269,16119010,1.male
1270,16119020,2.female
1271,16142010,2.female
1272,16161020,2.female
1273,16161030,1.male
1274,16162010,1.male
1275,16162040,2.female
1276,16174010,1.male
1277,16174040,2.female
1278,16190010,2.female
1279,16197010,1.male
1280,16197020,2.female
1281,16203010,1.male
1282,16211010,1.male
1283,16220010,2.female
1284,16220020,1.male
1285,16221010,2.female
1286,16221040,1.male
1287,16223010,2.female
1288,16233010,2.female
1289,16233020,1.male
1290,16237020,2.female
1291,16237030,1.male
1292,16243010,2.female
1293,16245010,1.male
1294,16245040,2.female
1295,16246020,2.female
1296,16246030,1.male
1297,16247020,1.male
1298,16247030,2.female
1299,16248010,2.female
1300,16250010,1.male
1301,16250020,2.female
1302,16257010,2.female
1303,16261020,2.female
1304,16261030,1.male
1305,16262010,1.male
1306,16262040,2.female
1307,16266020,2.female
1308,16266030,1.male
1309,16306010,2.female
1310,16312010,2.female
1311,16331010,1.male
1312,16331011,2.female
1313,16331040,2.female
1314,16365030,2.female
1315,16367010,1.male
1316,16367011,2.female
1317,16367012,2.female
1318,16367040,2.female
1319,16376020,2.female
1320,16376030,1.male
1321,16381010,2.female
1322,16381040,1.male
1323,16392010,1.male
1324,16398010,2.female
1325,16398020,1.male
1326,16400010,2.female
1327,16404010,1.male
1328,16404020,2.female
1329,16407010,1.male
1330,16407011,2.female
1331,16407020,2.female
1332,16412010,1.male
1333,16412020,2.female
1334,16415010,2.female
1335,16415040,1.male
1336,16420010,1.male
1337,16420020,2.female
1338,16430010,2.female
1339,16433010,1.male
1340,16433020,2.female
1341,16437010,1.male
1342,16437020,2.female
1343,16439020,2.female
1344,16439030,1.male
1345,16444010,2.female
1346,16444040,1.male
1347,16449020,1.male
1348,16449030,2.female
1349,16454020,2.female
